Time,Accuracy,Speed,BatteryPower,Acceleration
54.3,0.055,0,1166.642,0
54.4,0.054,0,1119.754,0
54.5,0.052,0,1119.567,0
54.6,0.05,0,1108.664,0
54.7,0.049,0,1090.689,0
54.8,0.048,0,1082.601,0
54.9,0.046,0,1080.247,0
55,0.045,0,1083.435,0
55.1,0.046,0,1096.824,0
55.2,0.048,0,1090.481,0
55.3,0.047,0,1081.066,0
55.4,0.053,0,1072.499,0
55.5,0.071,0,1074.621,0
55.6,0.07,0,1079.663,0
55.7,0.067,0,1084.528,0
55.8,0.064,0,1080.361,0
55.9,0.061,0,1085.24,0
56,0.059,0,1092.482,0
56.1,0.058,0,1093.208,0
56.2,0.057,0,1091.29,0
56.3,0.055,0,1084.52,0
56.4,0.053,0,1079.342,0
56.5,0.051,0,1076.294,0
56.6,0.05,0,1086.28,0
56.7,0.048,0,1088.942,0
56.8,0.047,0,1086.679,0
56.9,0.046,0,1088.789,0
57,0.045,0,1086.493,0
57.1,0.047,0,1089.657,0
57.2,0.063,0,1095.378,0
57.3,0.076,0,1083.142,0
57.4,0.073,0,1081.016,0
57.5,0.071,0,1083.935,0
57.6,0.067,0,1086.689,0
57.7,0.064,0,1091.731,0
57.8,0.061,0,1099.224,0
57.9,0.059,0,1094.821,0
58,0.058,0,1088.855,0
58.1,0.056,0,1094.161,0
58.2,0.054,0,1090.626,0
58.3,0.052,0,1085.598,0
58.4,0.051,0,1085.368,0
58.5,0.049,0,1091.384,0
58.6,0.048,0,1091.561,0
58.7,0.046,0,1083.325,0
58.8,0.045,0,1092.062,0
58.9,0.044,0,1091.293,0
59,0.043,0,1082.169,0
59.1,0.042,0,1081.932,0
59.2,0.044,0,1078.429,0
59.3,0.05,0,1077.655,0
59.4,0.056,0,1098.288,0
59.5,0.054,0,1103.782,0
59.6,0.054,0,1095.882,0
59.7,0.053,0,1081.003,0
59.8,0.052,0,1076.328,0
59.9,0.05,0,1078.476,0
60,0.048,0,1087.205,0
60.1,0.047,0,1093.741,0
60.2,0.045,0,1091.363,0
60.3,0.044,0,1091.434,0
60.4,0.043,0,1087.924,0
60.5,0.042,0,1087.131,0
60.6,0.041,0,1083.778,0
60.7,0.041,0,1087.121,0
60.8,0.041,0,1090.496,0
60.9,0.04,0,1087.684,0
61,0.04,0,1096.117,0
61.1,0.04,0,1102.825,0
61.2,0.04,0,1091.448,0
61.3,0.039,0,1086.518,0
61.4,0.038,0,1087.148,0
61.5,0.037,0,1081.852,0
61.6,0.037,0,1083.365,0
61.7,0.039,0,1098.268,0
61.8,0.04,0,1098.65,0
61.9,0.039,0,1090.489,0
62,0.038,0,1089.594,0
62.1,0.039,0,1090.39,0
62.2,0.039,0,1090.494,0
62.3,0.038,0,1089.635,0
62.4,0.037,0,1086.928,0
62.5,0.043,0,1085.451,0
62.6,0.047,0,1086.445,0
62.7,0.045,0,1086.135,0
62.8,0.044,0,1086.471,0
62.9,0.056,0,1079.719,0
63,0.071,0,1088.681,0
63.1,0.068,0,1094.767,0
63.2,0.066,0,1083.866,0
63.3,0.063,0,1084.685,0
63.4,0.06,0,1088.142,0
63.5,0.058,0,1087.049,0
63.6,0.056,0,1095.314,0
63.7,0.054,0,1098.758,0
63.8,0.052,0,1082.237,0
63.9,0.051,0,1086.489,0
64,0.049,0,1096.718,0
64.1,0.048,0,1088.755,0
64.2,0.047,0,1087.999,0
64.3,0.045,0,1086.839,0
64.4,0.044,0,1083.18,0
64.5,0.043,0,1079.948,0
64.6,0.043,0,1081.508,0
64.7,0.046,0,1096.752,0
64.8,0.047,0,1099.959,0
64.9,0.046,0,1090.412,0
65,0.044,0,1079.553,0
65.1,0.043,0,1085.322,0
65.2,0.041,0,1092.772,0
65.3,0.04,0,1087.851,0
65.4,0.039,0,1079.524,0
65.5,0.04,0,1075.768,0
65.6,0.042,0,1085.527,0
65.7,0.042,0,1090.53,0
65.8,0.04,0,1093.736,0
65.9,0.041,0,1090.407,0
66,0.042,0,1084.497,0
66.1,0.04,0,1093.707,0
66.2,0.042,0,1084.899,0
66.3,0.048,0,1070.352,0
66.4,0.054,0,1081.41,0
66.5,0.056,0,1087.806,0
66.6,0.054,0,1086.556,0
66.7,0.053,0,1080.484,0
66.8,0.052,0,1080.507,0
66.9,0.052,0,1084.602,0
67,0.056,0,1083.879,0
67.1,0.056,0,1092.085,0
67.2,0.054,0,1096.207,0
67.3,0.051,0,1083.825,0
67.4,0.05,0,1079.674,0
