Time,Accuracy,Speed,BatteryPower,Acceleration,BatteryPower_SG,Speed_SG,Acceleration_SG
417.2,0.051,13.613,1805.226,-0.09,1706.47536130536,13.6122517482517,-0.102016317016324
417.3,0.049,13.6,2064.226,-0.13,2138.62157808858,13.6024312354312,-0.0901864801864834
417.4,0.048,13.598,2425.033,-0.02,2568.04907925408,13.5942144522145,-0.0711421911421924
417.5,0.046,13.588,2824.931,-0.1,2949.74355944056,13.5882027972028,-0.0547902097902018
417.6,0.045,13.578,3485.445,-0.1,3278.79929137529,13.5832564102564,-0.0477855477855487
417.7,0.044,13.578,3694.613,0.0,3570.11022610723,13.5786456876457,-0.0417365967366058
417.8,0.043,13.578,3820.018,0.0,3787.21205361305,13.5749090909091,-0.0406060606060722
417.9,0.065,13.575,3877.791,-0.03,3910.96622377622,13.5705244755245,-0.0386247086246993
418.0,0.081,13.566,3908.726,-0.09,3954.12106526807,13.5671841491842,-0.0330536130535921
418.1,0.078,13.562,3921.946,-0.04,3933.58975058275,13.5639137529138,-0.0350349650349655
418.2,0.075,13.56,3915.633,-0.02,3929.79673659674,13.5601771561772,-0.0270629370629309
418.3,0.072,13.556,3921.217,-0.04,3924.3011981352,13.5585011655012,-0.0150116550116417
418.4,0.069,13.556,3920.487,0.0,3917.31517715618,13.5571748251748,-0.0202564102564307
418.5,0.066,13.556,3904.136,0.0,3908.83411421911,13.5544498834499,-0.0276107226107162
418.6,0.063,13.556,3900.44,0.0,3902.86085780886,13.5516526806527,-0.0203146853146852
418.7,0.062,13.556,3903.688,0.0,3898.69091608392,13.5503869463869,-0.0116083916084093
418.8,0.059,13.542,3883.689,-0.14,3892.18230769231,13.549331002331,-0.0171911421911385
418.9,0.058,13.537,3885.916,-0.05,3887.05756876457,13.5469487179487,-0.0260955710955739
419.0,0.056,13.549,3893.927,0.12,3884.68350815851,13.5441118881119,-0.023344988344979
419.1,0.054,13.551,3882.418,0.02,3881.51124708625,13.5422797202797,-0.0163869463869491
419.2,0.052,13.54,3871.511,-0.11,3879.69205361305,13.5408344988345,-0.0189393939394044
419.3,0.051,13.533,3878.131,-0.07,3880.52324009324,13.5384918414918,-0.0375174825174906
419.4,0.049,13.533,3881.35,0.0,3879.70405128205,13.533331002331,-0.0615151515151559
419.5,0.048,13.533,3876.844,0.0,3875.99161305361,13.5261888111888,-0.0634731934731769
419.6,0.046,13.522,3879.266,-0.11,3872.50734265734,13.5206363636364,-0.0431235431235446
419.7,0.045,13.511,3873.669,-0.11,3869.21594172494,13.5175641025641,-0.0285780885780812
419.8,0.045,13.511,3863.404,0.0,3864.411002331,13.5149207459207,-0.03024475524475
419.9,0.044,13.511,3846.096,0.0,3860.2594988345,13.5115151515152,-0.0330069930069962
420.0,0.042,13.511,3853.227,0.0,3856.25620745921,13.5083193473193,-0.0250466200466302
420.1,0.041,13.511,3861.159,0.0,3851.00990675991,13.5065058275058,-0.0277738927738918
